Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
2021-01-02T21:00,0.353,0.560,3.150,4.604,97.43,28.600
2021-01-02T21:30,0.346,0.660,3.115,4.513,98.43,28.600
2021-01-02T22:00,0.321,0.490,2.978,4.498,98.43,28.500
2021-01-02T22:30,0.336,0.680,2.904,4.585,98.43,28.500
2021-01-02T23:00,0.382,0.810,2.968,3.000,98.43,28.500
2021-01-02T23:30,0.492,0.990,3.027,4.956,82.43,28.500
2021-01-03T00:00,0.513,1.060,3.185,3.306,87.43,28.500
2021-01-03T00:30,0.531,0.970,3.148,4.034,91.43,28.500
2021-01-03T01:00,0.518,0.990,3.222,3.369,97.43,28.450
2021-01-03T01:30,0.547,0.900,3.292,3.907,97.43,28.500
2021-01-03T02:00,0.524,0.860,3.296,4.224,95.43,28.500
2021-01-03T02:30,0.576,0.910,3.255,3.768,95.43,28.450
2021-01-03T03:00,0.542,0.830,3.324,4.193,94.43,28.300
2021-01-03T03:30,0.534,0.900,3.371,4.311,101.43,28.250
2021-01-03T04:00,0.487,0.780,3.322,4.094,98.43,28.050
2021-01-03T04:30,0.451,0.770,3.314,3.945,97.43,27.950
2021-01-03T05:00,0.451,0.790,3.010,3.603,97.43,27.800
2021-01-03T05:30,0.471,0.980,3.176,4.391,94.43,27.800
2021-01-03T06:00,0.476,0.910,3.252,4.407,97.43,27.850
2021-01-03T06:30,0.446,0.730,3.243,3.882,97.43,27.750
2021-01-03T07:00,0.424,0.790,3.253,4.944,92.43,27.900
2021-01-03T07:30,0.397,0.630,3.299,4.271,90.43,27.900
2021-01-03T08:00,0.391,0.670,3.505,4.696,95.43,27.900
2021-01-03T08:30,0.378,0.690,3.541,4.944,98.43,27.900
2021-01-03T09:00,0.367,0.670,3.421,4.290,95.43,27.850
2021-01-03T09:30,0.373,0.630,3.516,4.386,102.43,27.900
2021-01-03T10:00,0.350,0.700,3.435,4.950,97.43,27.850
2021-01-03T10:30,0.357,0.600,3.283,4.216,98.43,27.800
2021-01-03T11:00,0.347,0.710,3.028,3.480,98.43,28.000
2021-01-03T11:30,0.449,0.780,2.974,3.889,97.43,28.050
2021-01-03T12:00,0.531,0.890,3.069,4.021,94.43,28.150
2021-01-03T12:30,0.456,0.810,2.998,3.373,101.43,28.200
2021-01-03T13:00,0.416,0.710,3.022,3.265,101.43,28.300
2021-01-03T13:30,0.358,0.710,3.034,3.146,99.43,28.450
2021-01-03T14:00,0.339,0.740,2.961,3.255,105.43,28.650
2021-01-03T14:30,0.280,0.570,3.002,2.835,118.43,28.650
2021-01-03T15:00,0.269,0.580,2.821,2.456,115.43,28.650
2021-01-03T15:30,0.269,0.430,2.877,3.731,98.43,28.650
2021-01-03T16:00,0.293,0.500,2.935,2.339,90.43,28.600
2021-01-03T16:30,0.283,0.510,2.883,2.477,92.43,28.600
2021-01-03T17:00,0.306,0.610,2.845,5.051,94.43,28.600
2021-01-03T17:30,0.321,0.560,2.822,2.910,97.43,28.600
2021-01-03T18:00,0.333,0.700,2.898,3.048,80.43,28.600
2021-01-03T18:30,0.337,0.660,2.883,2.797,82.43,28.600
2021-01-03T19:00,0.332,0.550,3.011,2.829,78.43,28.550
2021-01-03T19:30,0.302,0.470,2.985,2.904,91.43,28.550
2021-01-03T20:00,0.295,0.540,2.939,3.000,92.43,28.600
2021-01-03T20:30,0.291,0.520,3.006,3.252,90.43,28.500
2021-01-03T21:00,0.271,0.520,2.966,2.480,97.43,28.500
2021-01-03T21:30,0.277,0.530,3.010,3.103,98.43,28.500
2021-01-03T22:00,0.267,0.530,3.107,2.844,105.43,28.500
2021-01-03T22:30,0.256,0.450,3.183,2.756,102.43,28.500
2021-01-03T23:00,0.295,0.620,3.049,3.603,99.43,28.400
2021-01-03T23:30,0.287,0.420,2.989,4.399,98.43,28.400
2021-01-04T00:00,0.303,0.530,3.014,4.206,88.43,28.350
2021-01-04T00:30,0.285,0.500,3.028,3.890,98.43,28.350
2021-01-04T01:00,0.365,0.640,2.760,3.779,95.43,28.300
2021-01-04T01:30,0.337,0.600,2.931,2.713,99.43,28.300
2021-01-04T02:00,0.298,0.570,2.977,2.880,73.43,28.250
2021-01-04T02:30,0.279,0.490,2.965,3.821,99.43,28.250
2021-01-04T03:00,0.271,0.480,3.054,3.305,88.43,28.250
2021-01-04T03:30,0.273,0.520,3.095,3.058,92.43,28.250
2021-01-04T04:00,0.275,0.530,3.070,3.355,85.43,28.350
2021-01-04T04:30,0.259,0.470,3.069,3.188,85.43,28.350
2021-01-04T05:00,0.271,0.530,3.003,3.329,74.43,28.250
2021-01-04T05:30,0.281,0.440,2.868,3.535,77.43,28.300
2021-01-04T06:00,0.313,0.550,2.717,2.202,87.43,28.300
2021-01-04T06:30,0.286,0.480,2.743,3.355,146.43,28.350
2021-01-04T07:00,0.289,0.480,2.766,2.646,94.43,28.300
2021-01-04T07:30,0.283,0.530,2.820,3.533,92.43,28.300
2021-01-04T08:00,0.276,0.520,2.753,3.359,92.43,28.300
2021-01-04T08:30,0.285,0.530,2.678,2.305,95.43,28.300
2021-01-04T09:00,0.283,0.490,2.786,4.329,140.43,28.300
2021-01-04T09:30,0.276,0.530,2.946,3.828,105.43,28.350
2021-01-04T10:00,0.256,0.440,2.937,4.331,105.43,28.350
2021-01-04T10:30,0.238,0.380,2.918,4.327,102.43,28.350
2021-01-04T11:00,0.225,0.390,3.014,3.361,106.43,28.400
2021-01-04T11:30,0.219,0.380,3.145,4.481,102.43,28.350
2021-01-04T12:00,0.219,0.380,3.192,4.399,101.43,28.350
2021-01-04T12:30,0.223,0.370,3.452,4.690,111.43,28.350
2021-01-04T13:00,0.210,0.330,3.463,4.301,109.43,28.350
2021-01-04T13:30,0.196,0.310,3.229,3.537,104.43,28.350
2021-01-04T14:00,0.214,0.370,2.861,3.791,108.43,28.350
2021-01-04T14:30,0.206,0.300,2.783,4.809,104.43,28.350
2021-01-04T15:00,0.218,0.390,2.755,2.501,30.43,28.350
2021-01-04T15:30,0.248,0.560,2.802,2.682,37.43,28.400
2021-01-04T16:00,0.265,0.460,2.858,2.799,22.43,28.400
2021-01-04T16:30,0.271,0.490,2.906,3.101,35.43,28.400
2021-01-04T17:00,0.261,0.460,2.941,3.055,16.43,28.400
2021-01-04T17:30,0.255,0.430,2.970,3.085,14.43,28.400
2021-01-04T18:00,0.264,0.490,2.755,2.798,19.43,28.400
2021-01-04T18:30,0.261,0.480,2.691,2.841,36.43,28.350
2021-01-04T19:00,0.274,0.620,2.548,2.968,36.43,28.350
2021-01-04T19:30,0.309,0.590,2.584,2.543,30.43,28.350
2021-01-04T20:00,0.340,0.610,2.591,2.718,75.43,28.350
2021-01-04T20:30,0.352,0.680,2.624,2.613,53.43,28.350
2021-01-04T21:00,0.389,0.810,2.708,2.875,73.43,28.350
2021-01-04T21:30,0.476,0.810,2.739,3.048,78.43,28.400
2021-01-04T22:00,0.509,0.950,2.881,2.957,88.43,28.400
2021-01-04T22:30,0.544,1.050,2.855,3.294,92.43,28.400
2021-01-04T23:00,0.600,0.990,3.020,3.569,94.43,28.400
2021-01-04T23:30,0.666,1.330,3.128,3.725,91.43,28.450
2021-01-05T00:00,0.681,1.160,3.158,3.735,90.43,28.450
2021-01-05T00:30,0.733,1.240,3.274,4.044,88.43,28.500
2021-01-05T01:00,0.754,1.410,3.341,4.072,99.43,28.450
2021-01-05T01:30,0.759,1.240,3.413,4.118,94.43,28.450
2021-01-05T02:00,0.704,1.310,3.461,4.500,92.43,28.450
